"year","pib_per_capita","variacion_anual"
2023,64694,3.8
2022,62309,22.7
2021,50770,7.2
2020,47381,-0.1
2019,47442,10.3
2018,43000,0.2
2017,42905,2.8
2016,41730,3.9
2015,40181,23.5
2014,32548,1.7
2013,32007,-2
2012,32645,11.9
2011,29178,-1.2
2010,29522,6.7
2009,27676,-2.1
2008,28256,-8.5
2007,30895,-5
2006,32504,3.6
2005,31386,6.5
2004,29476,-5.5
2003,31174,-12
2002,35441,-3.2
2001,36609,5.3
2000,34772,19
