"Intent,""Year"",""Age Group"",""Sex"",""Deaths"",""Population"",""Crude Rate"",""Age-Adjusted Rate"",""Years of Potential Life Lost"""
"Unintentional,""2022"",""40 to 44"",""Females"",""90"",""223,985"",""40.18"",""--"",""2,065"""
"Unintentional,""2022"",""45 to 49"",""Males"",""312"",""210,329"",""148.34"",""--"",""5,618"""
"Unintentional,""2022"",""45 to 49"",""Females"",""63"",""208,994"",""30.14"",""--"",""1,143"""
"Unintentional,""2022"",""50 to 54"",""Males"",""316"",""217,356"",""145.38"",""--"",""4,130"""
"Unintentional,""2022"",""50 to 54"",""Females"",""90"",""218,221"",""41.24"",""--"",""1,164"""
"Unintentional,""2022"",""55 to 59"",""Males"",""332"",""211,883"",""156.69"",""--"",""2,655"""
"Unintentional,""2022"",""55 to 59"",""Females"",""120"",""220,341"",""54.46"",""--"",""978"""
"Unintentional,""2022"",""60 to 64"",""Males"",""318"",""217,501"",""146.21"",""--"",""934"""
"Unintentional,""2022"",""60 to 64"",""Females"",""131"",""233,666"",""56.06"",""--"",""413"""
"Unintentional,""2022"",""65 to 69"",""Males"",""225"",""198,297"",""113.47"",""--"",""0"""
"Unintentional,""2022"",""65 to 69"",""Females"",""117"",""223,871"",""52.26"",""--"",""0"""
"Unintentional,""2022"",""70 to 74"",""Males"",""196"",""172,953"",""113.33"",""--"",""0"""
"Unintentional,""2022"",""70 to 74"",""Females"",""111"",""198,885"",""55.81"",""--"",""0"""
"Unintentional,""2022"",""75 to 79"",""Males"",""184"",""133,042"",""138.30"",""--"",""0"""
"Unintentional,""2022"",""75 to 79"",""Females"",""123"",""151,118"",""81.39"",""--"",""0"""
"Unintentional,""2022"",""80 to 84"",""Males"",""167"",""78,392"",""213.03"",""--"",""0"""
"Unintentional,""2022"",""80 to 84"",""Females"",""127"",""92,190"",""137.76"",""--"",""0"""
"Unintentional,""2022"",""85+"",""Males"",""257"",""60,517"",""424.67"",""--"",""0"""
"Unintentional,""2022"",""85+"",""Females"",""339"",""81,900"",""413.92"",""--"",""0"""
"Unintentional,""2021"",""0 to 4"",""Males"",""36"",""202,601"",""17.77"",""--"",""2,294"""
"Unintentional,""2021"",""0 to 4"",""Females"",""37"",""194,783"",""19.00"",""--"",""2,351"""
"Unintentional,""2021"",""5 to 9"",""Males"",""10**"",""225,260"",""4.44**"",""--"",""581"""
"Unintentional,""2021"",""5 to 9"",""Females"",""11**"",""215,472"",""5.11**"",""--"",""639"""
"Unintentional,""2021"",""10 to 14"",""Males"",""17**"",""241,435"",""7.04**"",""--"",""894"""
